iterationNum,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,trialNum,                  agentID,object,word,val
0,10,10,0.93,0.01,0,1,qapamoma,game,0.07160000000000001
0,10,10,0.93,0.01,0,1,qapamoma,cheek,0.09679999999999991
0,10,10,0.93,0.01,0,1,qapamoma,shore,0.06519999999999998
0,10,10,0.93,0.01,0,1,qapamoma,danger,0.06119999999999998
0,10,10,0.93,0.01,0,1,qapamoma,purse,0.07200000000000005
0,10,10,0.93,0.01,0,1,qapamoma,coast,0.07719999999999995
0,10,10,0.93,0.01,0,1,qapamoma,null,0.23800000000000002
0,10,10,0.93,0.01,0,1,qapamoma,threat,0.09159999999999993
0,10,10,0.93,0.01,0,1,qapamoma,meter,0.08879999999999996
0,10,10,0.93,0.01,0,1,qapamoma,vitamin,0.0496
0,10,10,0.93,0.01,0,1,qapamoma,bag,0.08799999999999998
0,10,10,0.93,0.01,0,2,qapamoma,bag,0.08319999999999997
0,10,10,0.93,0.01,0,2,qapamoma,coast,0.0976
0,10,10,0.93,0.01,0,2,qapamoma,null,0.22600000000000003
0,10,10,0.93,0.01,0,2,qapamoma,threat,0.06679999999999994
0,10,10,0.93,0.01,0,2,qapamoma,cheek,0.07639999999999998
0,10,10,0.93,0.01,0,2,qapamoma,danger,0.0864
0,10,10,0.93,0.01,0,2,qapamoma,shore,0.06320000000000002
0,10,10,0.93,0.01,0,2,qapamoma,game,0.07479999999999999
0,10,10,0.93,0.01,0,2,qapamoma,meter,0.08239999999999996
0,10,10,0.93,0.01,0,2,qapamoma,vitamin,0.07719999999999999
0,10,10,0.93,0.01,0,2,qapamoma,purse,0.06599999999999999
0,10,10,0.93,0.01,0,1,lipu,danger,0.06360000000000002
0,10,10,0.93,0.01,0,1,lipu,purse,0.0864
0,10,10,0.93,0.01,0,1,lipu,cheek,0.07680000000000001
0,10,10,0.93,0.01,0,1,lipu,vitamin,0.10080000000000011
0,10,10,0.93,0.01,0,1,lipu,shore,0.07759999999999999
0,10,10,0.93,0.01,0,1,lipu,game,0.07719999999999995
0,10,10,0.93,0.01,0,1,lipu,null,0.19520000000000007
0,10,10,0.93,0.01,0,1,lipu,coast,0.08599999999999995
0,10,10,0.93,0.01,0,1,lipu,bag,0.09560000000000002
0,10,10,0.93,0.01,0,1,lipu,meter,0.055200000000000006
0,10,10,0.93,0.01,0,1,lipu,threat,0.08560000000000004
0,10,10,0.93,0.01,0,2,lipu,danger,0.08959999999999999
0,10,10,0.93,0.01,0,2,lipu,game,0.0747999999999999
