iterationNum,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,time,                 speakerID,listenerID,intendedName, word1, word2, topSpeakerChoice,topListenerChoice,correctProb,correct,7.3943661971831
0,10,10,0.93,0.01,0,1,2,threat,threat,coast,loqi,coast,0.349015513145278,false,
0,10,10,0.93,0.01,1,2,1,bag,bag,coast,nihatate,bag,0.99999999973167,true,
0,10,10,0.93,0.01,2,1,2,coast,coast,meter,loqi,meter,0.452877527108306,false,
0,10,10,0.93,0.01,3,2,1,shore,shore,cheek,loqi,shore,0.713289530338802,true,
0,10,10,0.93,0.01,4,1,2,purse,purse,cheek,nihatate,purse,0.98837696215794,true,
0,10,10,0.93,0.01,5,2,1,game,coast,game,lipu,game,0.352487690028984,true,
0,10,10,0.93,0.01,6,1,2,purse,purse,threat,nihatate,purse,0.999275908705348,true,
0,10,10,0.93,0.01,7,2,1,meter,shore,meter,hene,shore,4.35130365518462E-13,false,
0,10,10,0.93,0.01,8,1,2,danger,danger,cheek,qapamoma,danger,0.899974419704384,true,
0,10,10,0.93,0.01,9,2,1,threat,threat,game,qapamoma,threat,0.97412598779483,true,
0,10,10,0.93,0.01,10,1,2,coast,purse,coast,loqi,coast,0.99999999867163,true,
0,10,10,0.93,0.01,11,2,1,vitamin,bag,vitamin,fuwo,bag,0.006994509079781,false,
0,10,10,0.93,0.01,12,1,2,bag,bag,danger,nihatate,bag,0.999999411684714,true,
0,10,10,0.93,0.01,13,2,1,danger,danger,meter,qapamoma,danger,0.999999997955758,true,
0,10,10,0.93,0.01,14,1,2,vitamin,danger,vitamin,fuwo,vitamin,0.999999999999975,true,
0,10,10,0.93,0.01,15,2,1,meter,bag,meter,falu,meter,0.986730246084182,true,
0,10,10,0.93,0.01,16,1,2,cheek,threat,cheek,falu,threat,0.005927066698627,false,
0,10,10,0.93,0.01,17,2,1,purse,purse,vitamin,nihatate,purse,1,true,
0,10,10,0.93,0.01,18,1,2,shore,shore,vitamin,loqi,shore,0.999999713429782,true,
0,10,10,0.93,0.01,19,2,1,meter,meter,vitamin,falu,meter,1,true,
0,10,10,0.93,0.01,20,1,2,game,meter,game,lipu,game,1,true,
0,10,10,0.93,0.01,21,2,1,shore,shore,coast,loqi,shore,0.99816965890403,true,
0,10,10,0.93,0.01,22,1,2,purse,purse,meter,nihatate,purse,1,true,
0,10,10,0.93,0.01,23,2,1,game,game,vitamin,lipu,game,1,true,
0,10,10,0.93,0.01,24,1,2,threat,threat,meter,falu,meter,4.71941172037508E-15,false,
0,10,10,0.93,0.01,25,2,1,threat,threat,shore,nihatate,threat,0.99999999999919,true,
0,10,10,0.93,0.01,26,1,2,game,purse,game,lipu,game,1,true,
0,10,10,0.93,0.01,27,2,1,danger,danger,shore,qapamoma,danger,1,true,
0,10,10,0.93,0.01,28,1,2,danger,purse,danger,qapamoma,danger,1,true,
0,10,10,0.93,0.01,29,2,1,cheek,coast,cheek,fuwo,cheek,0.999485871628795,true,
0,10,10,0.93,0.01,30,1,2,coast,danger,coast,loqi,coast,1,true,
0,10,10,0.93,0.01,31,2,1,vitamin,coast,vitamin,hene,vitamin,0.999999961969288,true,
0,10,10,0.93,0.01,32,1,2,vitamin,threat,vitamin,hene,vitamin,0.999999995963599,true,
0,10,10,0.93,0.01,33,2,1,bag,bag,cheek,nihatate,bag,0.999999207107373,true,
0,10,10,0.93,0.01,34,1,2,danger,danger,game,qapamoma,danger,1,true,
0,10,10,0.93,0.01,35,2,1,bag,bag,shore,nihatate,bag,0.999999999999805,true,
0,10,10,0.93,0.01,36,1,2,shore,shore,game,loqi,shore,1,true,
0,10,10,0.93,0.01,37,2,1,cheek,meter,cheek,fuwo,cheek,1,true,
0,10,10,0.93,0.01,38,1,2,bag,bag,threat,nihatate,bag,0.999999999086842,true,
0,10,10,0.93,0.01,39,2,1,purse,purse,bag,loqi,purse,1,true,
0,10,10,0.93,0.01,40,1,2,game,bag,game,lipu,game,1,true,
